[Потоки] n_jobs: 1 | Время: 3.472033299971372
[Потоки] n_jobs: 2 | Время: 3.4320045000640675
[Потоки] n_jobs: 3 | Время: 3.4796690000221133
[Потоки] n_jobs: 4 | Время: 3.4611520000034943
[Потоки] n_jobs: 5 | Время: 3.4120249999687076
[Потоки] n_jobs: 6 | Время: 3.391865300014615
[Потоки] n_jobs: 7 | Время: 3.4787349000107497
[Потоки] n_jobs: 8 | Время: 3.442983799963258
[Потоки] n_jobs: 9 | Время: 3.4438172000227496
[Потоки] n_jobs: 10 | Время: 3.450883299927227
[Потоки] n_jobs: 11 | Время: 3.5783075999934226
[Потоки] n_jobs: 12 | Время: 3.4915854999562725
[Потоки] n_jobs: 13 | Время: 3.440647500101477
[Потоки] n_jobs: 14 | Время: 3.480540700023994
[Потоки] n_jobs: 15 | Время: 3.686039400054142
[Потоки] n_jobs: 16 | Время: 3.955576100037433
[Потоки] n_jobs: 17 | Время: 3.6713657000800595
[Потоки] n_jobs: 18 | Время: 3.6042900000466034
[Потоки] n_jobs: 19 | Время: 3.680933800060302
[Потоки] n_jobs: 20 | Время: 3.510321000008844
[Потоки] n_jobs: 21 | Время: 3.517708200030029
[Потоки] n_jobs: 22 | Время: 3.632152699981816
[Потоки] n_jobs: 23 | Время: 3.5739834000123665
[Потоки] n_jobs: 24 | Время: 3.5726266000419855

======================

[Процессы] n_jobs: 1 | Время: 3.57758050004486
[Процессы] n_jobs: 2 | Время: 1.9231642000377178
[Процессы] n_jobs: 3 | Время: 1.4170052000554278
[Процессы] n_jobs: 4 | Время: 1.194582000025548
[Процессы] n_jobs: 5 | Время: 1.0589744999306276
[Процессы] n_jobs: 6 | Время: 1.0037116999737918
[Процессы] n_jobs: 7 | Время: 0.9371771999867633
[Процессы] n_jobs: 8 | Время: 0.9666568000102416
[Процессы] n_jobs: 9 | Время: 1.095817800029181
[Процессы] n_jobs: 10 | Время: 1.0924528000177816
[Процессы] n_jobs: 11 | Время: 1.1118200999917462
[Процессы] n_jobs: 12 | Время: 1.1342229000292718
[Процессы] n_jobs: 13 | Время: 1.123038399964571
[Процессы] n_jobs: 14 | Время: 1.1311907999916002
[Процессы] n_jobs: 15 | Время: 1.1840445999987423
[Процессы] n_jobs: 16 | Время: 1.2278720999602228
[Процессы] n_jobs: 17 | Время: 1.2188313000369817
[Процессы] n_jobs: 18 | Время: 1.2211157000856474
[Процессы] n_jobs: 19 | Время: 1.4151516000274569
[Процессы] n_jobs: 20 | Время: 1.3273980000521988
[Процессы] n_jobs: 21 | Время: 1.3146025999449193
[Процессы] n_jobs: 22 | Время: 1.3508006000192836
[Процессы] n_jobs: 23 | Время: 1.4040990000357851
[Процессы] n_jobs: 24 | Время: 1.473650599946268
